U+32A8	㊨	方向 方位 向右 右
U+32A7	㊧	方向 方位 向左 左
U+32A6	㊦	方向 方位 向下 下
U+32A5	㊥	方向 方位 正中 中 中间
U+32A4	㊤	方向 方位 向上 上
U+32A3	㊣	方向 方位 正中 正
U+25E5	◥	方向 方位 右上
U+25E4	◤	方向 方位 左上
U+25E3	◣	方向 方位 左下
U+25E2	◢	方向 方位 右下
