U+2637	☷	八卦 坤
U+2636	☶	八卦 艮
U+2635	☵	八卦 坎
U+2634	☴	八卦 巽
U+2633	☳	八卦 震
U+2632	☲	八卦 离
U+2631	☱	八卦 兑
U+2630	☰	八卦 乾
U+262F	☯	八卦 太极
