U+2603	☃	雪人
U+2602	☂	伞 雨伞
U+2601	☁	云 云朵
U+2600	☀	太阳 放射光线的实心太阳
U+25FF	◿	三角形 右下三角形
U+25FE	◾	方块 实心中小方形
U+25FD	◽	方块 空心中小方形
U+25FC	◼	方块 实心中等方形
U+25FB	◻	方块 空心中等方形
U+25FA	◺	三角形 左下三角
U+25F9	◹	三角形 右上三角
U+25F8	◸	三角形 左上三角
U+25F7	◷	圆圈 右上象限空心圆圈
U+25F6	◶	圆圈 右下象限空心圆圈
U+25F5	◵	圆圈 左下象限空心圆圈
U+25F4	◴	圆圈 左上象限空心圆圈
U+25F3	◳	方块 右上象限空心矩形
U+25F2	◲	方块 右下象限空心矩形
U+25F1	◱	方块 左下象限空心矩形
U+25F0	◰	方块 左上象限空心矩形
U+25EF	◯	圆圈 大圆圈
U+25EE	◮	三角形 带有右半实心的上指三角
U+25ED	◭	三角形 带有左半实心的上指三角
U+25EC	◬	三角形 带点的空心上指三角
U+25EB	◫	方块 有竖等分线的空心方形
U+25EA	◪	方块 有右下对角线半实心的方形
U+25E9	◩	方块 有左上对角线半实心的方形
U+25E8	◨	方块 有右半实心的方形
U+25E7	◧	方块 有左半实心的方形
U+25E6	◦	空心加重号
U+25E5	◥	三角形 实心右上三角
U+25E4	◤	三角形 实心左上三角
U+25E3	◣	三角形 实心左下三角
U+25E2	◢	三角形 实心右下三角
U+25E1	◡	圆圈 下半圆圈
U+25E0	◠	圆圈上半圆圈
U+25DF	◟	象限 左下象限圆弧
U+25DE	◞	象限 右下象限圆弧
U+25DD	◝	象限 右上象限圆弧
U+25DC	◜	象限 左上象限圆弧
U+25DB	◛	圆圈 下半反白空心圆圈
U+25DA	◚	圆圈 上半反白空心圆圈
U+25D9	◙	圆圈 反白空心圆圈
U+25D8	◘	圆圈 反白加重号
U+25D7	◗	圆圈 右半实心圆圈
U+25D6	◖	圆圈 左半实心圆圈
U+25D5	◕	圆圈 带除左上象限外实心的圆圈
U+25D4	◔	圆圈 带右上象限实心的圆圈
U+25D3	◓	圆圈 上半实心的圆圈
U+25D2	◒	圆圈 下半实心的圆圈
U+25D1	◑	圆圈 右半实心的圆圈
U+25D0	◐	圆圈 左半实心的圆圈
U+25CF	●	圆圈 实心圆圈
U+25CE	◎	圆圈 牛眼
U+25CD	◍	圆圈 带竖填充符的圆圈
U+25CC	◌	圆圈 带点圆圈
U+25CB	○	圆圈 空心圆圈
U+25CA	◊	菱形
U+25C9	◉	鱼眼
U+25C8	◈	菱形 空心菱形包含实心小型菱形
U+25C7	◇	菱形 空心菱形
U+25C6	◆	菱形 实心菱形
U+25C5	◅	三角形 空心左指指针
U+25C4	◄	三角形 实心左指指针
U+25C3	◃	三角形 空心左指小型三角
U+25C2	◂	三角形 实心左指小型三角
U+25C1	◁	三角形 空心左指三角
U+25C0	◀	三角形 实心左指三角
U+25BF	▿	三角形 空心下指小型三角
U+25BE	▾	三角形 实心下指小型三角
U+25BD	▽	三角形 空心下指三角
U+25BC	▼	三角形 实心下指三角
U+25BB	▻	三角形 空心右指指针
U+25BA	►	三角形 实心右指指针
U+25B9	▹	三角形 空心右指小型三角
U+25B8	▸	三角形 实心右指小型三角
