U+1F61F	😟	担心 担忧 焦虑
U+1F641	🙁	微微不满 不满 一脸不悦 不开心 不高兴 委屈 心情不好
U+2639	☹	不满 不爽 不高兴 皱眉
U+1F62E	😮	吃惊 惊讶 同情 哦 啊
U+1F62F	😯	缄默 沉默 吃惊 好奇 惊讶
U+1F632	😲	震惊 惊讶 吃惊 啊
U+1F633	😳	脸红 害羞 愣住 羞涩 茫然 迷茫
U+1F97A	🥺	恳求的脸 恳求 可怜 可怜兮兮 好嘛 怜悯 求你了 求求你 求求你了
U+1F979	🥹	忍住泪水 眼泪 泪水 可怜 含泪 委屈 强忍泪水 热泪盈眶 要哭了
U+1F626	😦	啊 笑脸 吃惊 惊讶 目瞪口呆 震惊
U+1F627	😧	极度痛苦 痛苦 吃惊 啊 惊讶 难受 震惊
U+1F628	😨	害怕 可怕 恐怖 恐惧
U+1F630	😰	冷汗 害怕 冒汗 冒汗焦虑 尴尬 无语 紧张
U+1F625	😥	失望但如释重负 失望 如释重负 难过但释然
U+1F622	😢	哭 伤心 哭了 哭泣 流泪 流眼泪
U+1F62D	😭	放声大哭 大哭 哭了 哭泣 流泪 流眼泪 痛哭
U+1F631	😱	吓死了 害怕 可怕 吓人 吓死 尖叫 恐怖 恐惧 恐惧尖叫 惊声尖叫
U+1F616	😖	困惑 焦头烂额 纠结
U+1F623	😣	痛苦 忍耐 难受
U+1F61E	😞	失望 不高兴 难过
U+1F613	😓	汗 倒霉 冒汗 冷汗 尴尬 无语
U+1F629	😩	累死了 累 焦虑 焦躁 疲倦 疲劳 疲惫
U+1F62B	😫	累 抓狂
U+1F971	🥱	打呵欠 呵欠 哈欠 困 困了 困倦 打哈欠 无聊
U+1F624	😤	傲慢 哼 哼哼 字符 胜利 趾高气昂 鼻子冒气
U+1F621	😡	怒火中烧 生气 发火 发飙 怒 愤怒 气人 烦死 烦死了 烦死人 烦死啦
U+1F620	😠	生气 微怒 愤怒 气人
